+-----+----------------------+-------------------------------+-------------------------------------------------------+
| id  | large_name           | mid_name                      | small_name                                            |
+-----+----------------------+-------------------------------+-------------------------------------------------------+
|  92 | 과학·기술            | 광고                          | 광고 대행업                                           |
| 239 | 과학·기술            | 광고                          | 광고 매체 판매업                                      |
| 133 | 과학·기술            | 광고                          | 광고물 설계/제작업                                    |
|  63 | 과학·기술            | 광고                          | 기타 광고 관련 서비스업                               |
| 129 | 과학·기술            | 광고                          | 옥외/전시 광고 대행업                                 |
|  66 | 과학·기술            | 기술 서비스                   | 건물 및 토목 엔지니어링 서비스업                      |
|  56 | 과학·기술            | 기술 서비스                   | 건축 설계 및 관련 서비스업                            |
| 102 | 과학·기술            | 기술 서비스                   | 기타 엔지니어링 서비스업                              |
| 145 | 과학·기술            | 기술 서비스                   | 도시 계획 및 조경 설계 서비스업                       |
| 115 | 과학·기술            | 기술 서비스                   | 환경 관련 엔지니어링 서비스업                         |
| 204 | 과학·기술            | 기타 전문 과학                | 번역/통역 서비스업                                    |
|  76 | 과학·기술            | 기타 전문 과학                | 사업/무형 재산권 중개업                               |
| 187 | 과학·기술            | 법무관련                      | 공인노무사                                            |
| 242 | 과학·기술            | 법무관련                      | 기타 법무관련 서비스업                                |
| 131 | 과학·기술            | 법무관련                      | 법무사                                                |
| 233 | 과학·기술            | 법무관련                      | 변리사                                                |
|  82 | 과학·기술            | 법무관련                      | 변호사                                                |
| 143 | 과학·기술            | 법무관련                      | 행정사                                                |
|   7 | 과학·기술            | 본사·경영 컨설팅              | 경영 컨설팅업                                         |
|  60 | 과학·기술            | 사진 촬영                     | 사진촬영업                                            |
| 193 | 과학·기술            | 수의                          | 동물병원                                              |
| 209 | 과학·기술            | 시장 조사                     | 시장 조사 및 여론 조사업                              |
|  54 | 과학·기술            | 인쇄·제품제작                 | 명함/간판/광고물 제작                                 |
|  17 | 과학·기술            | 전문 디자인                   | 시각 디자인업                                         |
|  51 | 과학·기술            | 전문 디자인                   | 인테리어 디자인업                                     |
| 146 | 과학·기술            | 전문 디자인                   | 제품 디자인업                                         |
